Valor                  Ultimo   Var. %  Var.    Ac.% año    MAx.     MIn.     Vol.         Capit.   Hora
ACCIONA                74,46    0,84    0,62    14,04       74,64    73,2     133.679      4.264    17:38
ACERINOX               11,1     1,6     0,18    -2,93       11,255   10,81    1.105.730    3.064    17:38
ACS                    32,38    1,5     0,48    3,24        32,54    31,46    736.726      10.189   17:38
AENA                   140,55   1,81    2,5     -13,6       140,7    137,25   186.185      21.082   17:38
AMADEUS IT GROUP       72,28    1,92    1,36    22,33       72,36    69,76    1.076.293    31.718   17:38
ARCELORMITTAL          22,075   1,92    0,42    -18,34      22,325   20,82    582.340      22.559   17:38
BANCO SABADELL         1,033    -0,72   -0,01   -35,75      1,055    1,016    44.841.804   5.813    17:43
BANKIA                 2,797    0,07    0       -27,7       2,852    2,778    6.519.905    8.629    17:38
BANKINTER              7,09     0,11    0,01    -7,9        7,214    6,96     3.333.941    6.373    17:38
BBVA                   5,106    2,85    0,14    -25,08      5,134    4,972    25.400.774   34.046   17:38
CAIXABANK              3,458    2,46    0,08    -9,26       3,465    3,319    21.477.340   20.684   17:38
CELLNEX TELECOM        21,2     -0,38   -0,08   -0,48       21,26    20,96    542.277      4.912    17:38
CIE. AUTOMOTIVE        22       2,42    0,52    4,16        22,4     21,18    476.601      2.838    17:38
COLONIAL               8,97     1,07    0,1     10,41       8,97     8,79     885.083      4.078    17:38
DIA                    0,775    12,06   0,08    -80,64      0,868    0,692    22.681.336   482      17:38
ENAGAS                 23,21    -0,26   -0,06   0,75        23,47    23,18    775.485      5.541    17:38
ENDESA                 18,45    0,11    0,02    7,02        18,475   18,26    1.288.313    19.534   17:38
FERROVIAL              17,97    -0,17   -0,03   -3,34       18,14    17,835   1.362.308    13.285   17:38
GRIFOLS                22,31    -0,89   -0,2    -7,93       22,54    21,83    1.178.630    9.507    17:38
IAG                    6,596    3,09    0,2     -7,08       6,596    6,326    4.582.089    14.069   17:38
IBERDROLA              6,366    0,79    0,05    3,56        6,388    6,258    16.396.496   40.727   17:38
INDITEX                24,83    1,14    0,28    -13,25      25,03    24,56    3.960.963    77.386   17:38
INDRA                  8,4      0,06    0       -26,35      8,565    8,305    788.882      1.484    17:38
MAPFRE                 2,53     0,64    0,02    -2,39       2,558    2,505    4.550.904    7.791    17:38
MEDIASET               5,768    -2,07   -0,12   -33,62      6,03     5,67     1.671.024    1.889    17:38
MELIA HOTELS           9,005    3,15    0,28    -20,58      9,11     8,51     820.670      2.068    17:38
MERLIN PROP.           11,35    1,29    0,15    4,41        11,39    11,15    1.321.372    5.332    17:46
NATURGY                22       0,41    0,09    19,18       22,06    21,85    1.353.051    22.015   17:38
RED ELECTRICA          18,6     0,49    0,09    4,59        18,68    18,395   1.685.218    10.064   17:38
REPSOL                 15,05    -1,44   -0,22   5,04        15,23    14,94    8.593.143    24.022   17:38
SANTANDER              4,07     2,24    0,09    -22,44      4,097    3,963    50.803.392   65.674   17:38
SIEMENS GAMESA         9,952    2,16    0,21    -12,93      10       9,65     1.995.735    6.779    17:38
TECNICAS REUNIDAS      22,6     0,89    0,2     -11,73      22,79    22,23    251.916      1.263    17:38
TELEFONICA             6,931    0,99    0,07    -12,41      6,998    6,844    19.924.200   35.987   17:38
VISCOFAN               62,15    0,32    0,2     14,97       62,3     61,3     105.283      2.896    17:38
